codigo,descripcion,campo
I312,Hemopericardio, no clasificado en otra parte
I313,Derrame pericardico (no inflamatorio)
I479,Taquicardia paroxistica, no especificada
I48,Fibrilacion y aleteo auricular
I49,Otras arritmias cardiacas
I490,Fibrilacion y aleteo ventricular
I491,Despolarizacion auricular prematura
I492,Despolarizacion prematura nodal
I493,Despolarizacion ventricular prematura
I494,Otros tipos de despolarizacion prematura y los no especificados
I495,Sindrome del seno enfermo
I498,Otras arritmias cardiacas especificadas
I499,Arritmia cardiaca, no especificada
I50,Insuficiencia cardiaca
I500,Insuficiencia cardiaca congestiva
I501,Insuficiencia ventricular izquierda
I509,Insuficiencia cardiaca, no especificada
I51,Complicaciones y descripciones mal definidas en enfermedades cardiacas
I510,Defecto del tabique cardiaco, adquirido
I511,Ruptura de cuerda tendinosa, no clasificada en otra parte
I512,Ruptura del musculo papilar, no clasificada en otra parte
I513,Trombosis intracardiaca, no clasificada en otra parte
I514,Miocarditis, no especificada
I515,Degeneracion miocardica
I516,Enfermedad cardiovascular, no especificada
I517,Cardiomegalia
I518,Otras enfermedades cardiacas mal definidas
I519,Enfermedad cardiaca, no especificada
I52,Otros trastornos cardiacos en enfermedades clasificadas en otra parte
I520,Otros trastornos cardiacos en enfermedades bacterianas clasificadas en otra parte
I521,Otros trastornos cardiacos en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
I528,Otros trastornos cardiacos en otras enfermedades clasificadas en otra parte
I60,Hemorragia subaracnoidea
I600,Hemorragia subaracnoidea de sifon y bifurcacion carotidea
I601,Hemorragia subaracnoidea de arteria cerebral media
I602,Hemorragia subaracnoidea de arteria comunicante anterior
I603,Hemorragia subaracnoidea de arteria comunicante posterior
I604,Hemorragia subaracnoidea de arteria basilar
I605,Hemorragia subaracnoidea de arteria vertebral
I606,Hemorragia subaracnoidea de otras arterias intracraneales
I607,Hemorragia subaracnoidea de arteria intracraneal no especificada
I608,Otras hemorragias subaracnoideas
I609,Hemorragia subaracnoidea, no especificada
I61,Hemorragia intraencefalica
I610,Hemorragia intracerebral en hemisferio, subcortical
I611,Hemorragia intracerebral en hemisferio, cortical
I612,Hemorragia intracerebral en hemisferio, no especificada
I613,Hemorragia intraencefalica en tallo cerebral
I614,Hemorragia intraencefalica en cerebelo
I615,Hemorragia intraencefalica, intraventricular
I616,Hemorragia intraencefalica de localizaciones multiples
I618,Otras hemorragias intraencefalicas
I619,Hemorragia intraencefalica, no especificada
I62,Otras hemorrag intracraneales no traumaticas
I620,Hemorragia subdural (aguda) (no traumatica)
I621,Hemorragia extradural no traumatica
I629,Hemorragia intracraneal (no traumatica), no especificada
I63,Infarto cerebral
I630,Infarto cerebral debido a trombosis de arterias precerebrales
I631,Infarto cerebral debido a embolia de arterias precerebrales
I632,Infarto cerebral debido a oclusion o estenosis no especificada de arterias precerebrales
I633,Infarto cerebral debido a trombosis de arterias cerebrales
I634,Infarto cerebral debido a embolia de arterias cerebrales
I635,Infarto cerebral debido a oclusion o estenosis no especificada de arterias cerebrales
I636,Infarto cerebral debido a trombosis de venas cerebrales, no piogeno
I638,Otros infartos cerebrales
I639,Infarto cerebral, no especificado
I64,Accidente vascular encefalico agudo no especificado como hemorragico o isquemico
I65,Oclusion y estenosis en arterias precerebrales sin ocasionar infarto cerebral
I650,Oclusion y estenosis de arteria vertebral
I651,Oclusion y estenosis de arteria basilar
I652,Oclusion y estenosis de arteria carotida
I653,Oclusion y estenosis multiple bilateral de arterias precerebrales
I658,Oclusion y estenosis de otras arterias precerebrales
I659,Oclusion y estenosis de arteria precerebral no especificada
I66,Oclusion y estenosis en arterias cerebrales sin ocasionar infarto cerebral
I660,Oclusion y estenosis de la arteria cerebral media
I661,Oclusion y estenosis de la arteria cerebral anterior
I662,Oclusion y estenosis de la arteria cerebral posterior
I663,Oclusion y estenosis de arterias cerebelosas
I664,Oclusion y estenosis multiple bilateral de arterias cerebrales
I668,Oclusion y estenosis de otras arterias cerebrales
I669,Oclusion y estenosis de arteria cerebral no especificada
I67,Otras enfermedades cerebrovasculares
I670,Diseccion de arterias cerebrales, sin ruptura
I671,Aneurisma cerebral, sin ruptura
I672,Aterosclerosis cerebral
I673,Leucoencefalopatia vascular progresiva
I674,Encefalopatia hipertensiva
I675,Enfermedad de moyamoya
I676,Trombosis apiogena del sistema venoso intracraneal
I677,Arteritis cerebral, no clasificada en otra parte
I678,Otras enfermedades cerebrovasculares especificadas
I679,Enfermedad cerebrovascular, no especificada
I68,Trastornos cerebrovasculares en enfermedades clasificadas en otra parte
I680,Angiopatia cerebral amiloide (e85.
I681,Arteritis cerebral en enfermedades infecciosas y parasitarias clasificada en otra parte
I682,Arteritis cerebral en otras enfermedades clasificada en otra parte
I688,Otros trastornos cerebrovasculares en enfermedades clasificadas en otra parte
I69,Secuelas de enfermedades cerebrovascular
I690,Secuelas de hemorragia subaracnoidea
I691,Secuelas de hemorragia intraencefalica
I692,Secuelas de otras hemorragias intracraneales no traumaticas
I693,Secuelas de infarto cerebral
I694,Secuelas de accidente vascular encefalico, no especificado como hemorragico o isquemico
I698,Secuelas de otras enfermedades cerebrovasculares y de las no especificadas
I70,Aterosclerosis
I700,Aterosclerosis de la aorta
I701,Aterosclerosis de la arteria renal
I702,Aterosclerosis de las arterias de los miembros
I708,Aterosclerosis de otras arterias
I709,Aterosclerosis generalizada y la no especificada
I71,Aneurisma y diseccion aorticos
I710,Diseccion de aorta (cualquier parte)
I711,Ruptura de aneurisma de la aorta toracica
I712,Aneurisma de la aorta toracica, sin mencion de ruptura
I713,Ruptura de aneurisma de la aorta abdominal
I714,Aneurisma de la aorta abdominal, sin mencion de ruptura
I715,Ruptura de aneurisma de la aorta toracoabdominal
I716,Aneurisma de la aorta toracoabdominal, sin mencion de ruptura
I718,Ruptura de aneurisma aortico, sitio no especificado
I719,Aneurisma de la aorta, sitio no especificado, sin mencion de ruptura
I72,Otros aneurismas
I720,Aneurisma de la arteria carotida
I721,Aneurisma de la arteria del miembro superior
I722,Aneurisma de arteria renal
I723,Aneurisma de arteria iliaca
I724,Aneurisma de arteria del miembro inferior
I728,Aneurisma de otras arterias especificadas
I729,Aneurisma de sitio no especificado
I73,Otras enfermedades vasculares perifericas
I730,Sindrome de raynaud
I731,Tromboangeitis obliterante [buerger]
I738,Otras enfermedades vasculares perifericas especificadas
I739,Enfermedad vascular periferica, no especificada
I74,Embolia y trombosis arteriales
I740,Embolia y trombosis de la aorta abdominal
I741,Embolia y trombosis de otras porciones y las no especificadas de la aorta
I742,Embolia y trombosis de arterias de los miembros superiores
I743,Embolia y trombosis de arterias de los miembros inferiores
I744,Embolia y trombosis de arterias de los miembros, no especificadas
I745,Embolia y trombosis de arteria iliaca
I748,Embolia y trombosis de otras arterias
I749,Embolia y trombosis de arteria no especificada
I77,Otros trastornos arteriales o arteriolares
I770,Fistula arteriovenosa, adquirida
I771,Estrechez arterial
I772,Ruptura arterial
I773,Displasia fibromuscular arterial
I774,Sindrome de compresion del tronco celiaco
I775,Necrosis arterial
I776,Arteritis, no especificada
I778,Otros trastornos especificados de arterias y arteriolas
I779,Trastornos de arterias y arteriolas, no especificado
I78,Enfermedades de los vasos capilares
I780,Telangiectasia hemorragica hereditaria
I781,Nevo, no neoplasico
I788,Otras enfermedades de los capilares
I789,Enfermedad de los vasos capilares, no especificada
I79,Trastornos de las arterias, de las arteriolas y de los vasos capilares en enfermedades clasificadas en otra parte
I790,Aneurisma de la aorta en enfermedades clasificadas en otra parte
I791,Aortitis en enfermedades clasificadas en otra parte
I792,Angiopatia periferica en enfermedades clasificadas en otra parte
I798,Otros trastornos de arterias, arteriolas y vasos capilares en enfermedades clasificadas en otra parte
I80,Flebitis y tromboflebitis
I800,Flebitis y tromboflebitis de vasos superficiales de los miembros inferiores
I801,Flebitis y tromboflebitis de la vena femoral
I802,Flebitis y tromboflebitis de otros vasos profundos de los miembros inferiores
I803,Flebitis y tromboflebitis de los miembros inferiores, no especificada
I808,Flebitis y tromboflebitis de otros sitios
I809,Flebitis y tromboflebitis de sitio no especificado
I81,Trombosis de la vena porta
I82,Otras embolias y trombosis venosas
I820,Sindrome de budd
I821,Tromboflebitis migratoria
I822,Embolia y trombosis de vena cava
I823,Embolia y trombosis de vena renal
I828,Embolia y trombosis de otras venas especificadas
I829,Embolia y trombosis de vena no especificada
I83,Venas varicosas de los miembros inferiores
I830,Venas varicosas de los miembros inferiores con ulcera
I831,Venas varicosas de los miembros inferiores con inflamacion
I832,Venas varicosas de los miembros inferiores con ulcera e inflamacion
I839,Venas varicosas de los miembros inferiores sin ulcera ni inflamacion
I84,Hemorroides
I840,Hemorroides internas trombosadas
I841,Hemorroides internas con otras complicaciones
I842,Hemorroides internas sin complicacion
I843,Hemorroides externas trombosadas
I844,Hemorroides externas con otras complicaciones
I845,Hemorroides externas sin complicacion
I846,Prominencias cutaneas, residuo de hemorroides
I847,Hemorroides trombosadas no especificadas
I848,Hemorroides no especificadas, con otras complicaciones
I849,Hemorroides no especificadas, sin complicacion
I85,Varices esofagicas
I850,Varices esofagicas con hemorragia
I859,Varices esofagicas sin hemorragia
I86,Varices de otros sitios
I860,Varices sublinguales
I861,Varices escrotales
I862,Varices pelvicas
I863,Varices de la vulva
I864,Varices gastricas
I868,Varices en otros sitios especificados
I87,Otros trastornos de las venas
I870,Sindrome postflebitico
I871,Compresion de vena
I872,Insuficiencia venosa (cronica) (periferica)
I878,Otros trastornos venosos especificados
I879,Trastorno venoso, no especificado
I88,Linfadenitis inespecifica
I880,Linfadenitis mesenterica inespecifica
I881,Linfadenitis cronica, excepto la mesenterica
I888,Otras linfadenitis inespecificas
I889,Linfadenitis inespecifica no especificada
I89,Otros trastornos no infecciosos de los vasos y ganglios linfaticos
I890,Linfedema, no clasificado en otra parte
I891,Linfangitis
I898,Otros trastornos especificados no infecciosos de los vasos y ganglios linfaticos
I899,Trastorno no infeccioso de vasos y ganglios linfaticos, no especificado
I95,Hipotension
I950,Hipotension idiopatica
I951,Hipotension ortostatica
I952,Hipotension debida a drogas
I958,Otros tipos de hipotension
I959,Hipotension, no especificada
I97,Trastornos del sistema circulatorio consecutivos a procedimientos no clasificados en otra parte
I970,Sindrome de postcardiotomia
I971,Otras alteraciones funcionales consecutivas a cirugia cardiaca
I972,Sindrome de linfedema postmastectomia
I978,Otros trastornos del sistema circulatorio consecutivos a procedimientos, no clasificados en otra parte
I979,Trastorno no especificado del sistema circulatorio consecutivo a procedimientos
I98,Otros trastornos del sistema circulatorio en enfermedades clasificadas en otra parte
I980,Sifilis cardiovascular
I981,Trastornos cardiovasculares en otras enfermedades infecciosas y parasitarias clasificadas en otra parte
I982,Varices esofagicas en enfermedades clasificadas en otra parte
I988,Otros trastornos especificados del aparato circulatorio en enfermedades clasificadas en otra parte
I99,Otros trastornos y los no especificados del sistema circulatorio
II,Neoplasias
III,Enfermedades de la sangre y de los organos hematopoyeticos y otros trastornos que afectan el mecanismo de la inmunidad
IV,Enfermedades endocrinas, nutricionales y metabolicas
IX,Enfermedades del sistema circulatorio
J00,Rinofaringitis aguda
J01,Sinusitis aguda
J010,Sinusitis maxilar aguda
J011,Sinusitis frontal aguda
J012,Sinusitis etmoidal aguda
J013,Sinusitis esfenoidal aguda
J014,Pansinusitis aguda
J018,Otras sinusitis agudas
J019,Sinusitis aguda, no especificada
J02,Faringitis aguda
J020,Faringitis estreptococica
J028,Faringitis aguda debida a otros microorganismos especificados
J029,Faringitis aguda, no especificada
J03,Amigdalitis aguda
J030,Amigdalitis estreptococica
J038,Amigdalitis aguda debida a otros microorganismos especificados
J039,Amigdalitis aguda, no especificada
J04,Laringitis y traqueitis agudas
J040,Laringitis aguda
J041,Traqueitis aguda
J042,Laringotraqueitis aguda
J05,Laringitis obstructiva aguda [crup] y epiglotitis
J050,Laringitis obstructiva, aguda [crup]
J051,Epiglotitis aguda
J06,Infecciones agudas de las vias respiratorias superiores, de sitios multiples o no especificados
J060,Laringofaringitis aguda
J068,Otras infecciones agudas de sitios multiples de las vias respiratorias superiores
J069,Infeccion aguda de las vias respiratorias superiores, no especificada
J10,Influenza debida a virus de la influenza identificado
J100,Influenza con neumonia, debida a virus de la influenza identificado
J101,Influenza con otras manifestaciones respiratorias, debida a virus de la influenza identificado
J108,Influenza, con otras manifestaciones, debida a virus de la influenza identificado
J11,Influenza debida a virus no identificado
J110,Influenza con neumonia, virus no identificado
J111,Influenza con otras manifestaciones respiratorias, virus no identificado
J118,Influenza con otras manifestaciones, virus no identificado
J12,Neumonia viral no clasificada en otra parte
J120,Neumonia debida a adenovirus
J121,Neumonia debida a virus sincitial respiratorio
J122,Neumonia debida a virus parainfluenza
J128,Neumonia debida a otros virus
J129,Neumonia viral, no especificada
J13,Neumonia debida a streptococcus pneumoniae
J14,Neumonia debida a haemophilus influensae
J15,Neumonia bacteriana no clasificada en otra parte
J150,Neumonia debida a klebsiella pneumoniae
J151,Neumonia debida a pseudomonas
J152,Neumonia debida a estafilococos
J153,Neumonia debida a estreptococos del grupo b
J154,Neumonia debida a otros estreptococos
J155,Neumonia debida a escherichia coli
J156,Neumonia debida a otras bacterias aerobicas gramnegativas
J157,Neumonia debida a mycoplasma pneumoniae
J158,Otras neumonias bacterianas
J159,Neumonia bacteriana, no especificada
J16,Neumonia debida a otros microorganismos infecciosos, no clasificados en otra parte
J160,Neumonia debida a clamidias
J168,Neumonia debida a otros microorganismos infecciosos especificados
J17,Neumonia en enfermedades clasificadas en otra parte
J170,Neumonia en enfermedades bacterianas clasificadas en otra parte
J171,Neumonia en enfermedades virales clasificadas en otra parte
J172,Neumonia en micosis
J173,Neumonia en enfermedades parasitarias
J178,Neumonia en otras enfermedades clasificadas en otra parte
J18,Neumonia organismo no especificado
J180,Bronconeumonia, no especificada
J181,Neumonia lobar, no especificada
J182,Neumonia hipostatica, no especificada
J188,Otras neumonias, de microorganismo no especificado
J189,Neumonia, no especificada
J20,Bronquitis aguda
J200,Bronquitis aguda debida a mycoplasma pneumoniae
J201,Bronquitis aguda debida a haemophilus influenzae
J202,Bronquitis aguda debida a estreptococos
J203,Bronquitis aguda debida a virus coxsackie
J204,Bronquitis aguda debida a virus parainfluenza
J205,Bronquitis aguda debida a virus sincitial respiratorio
J206,Bronquitis aguda debida a rinovirus
J207,Bronquitis aguda debida a virus echo
J208,Bronquitis aguda debida a otros microorganismos especificados
J209,Bronquitis aguda, no especificada
J21,Bronquiolitis aguda
J210,Bronquiolitis aguda debida a virus sincitial respiratorio
J218,Bronquiolitis aguda debida a otros microorganismos especificados
J219,Bronquiolitis aguda, no especificada
J22,Infec agud no especificada de las vias respiratorias inferiores
J30,Rinitis alergica y vasomotora
J300,Rinitis vasomotora
J301,Rinitis alergica debida al polen
J302,Otra rinitis alergica estacional
J303,Otras rinitis alergicas
J304,Rinitis alergica, no especificada
J31,Rinitis, rinofaringitis y faringitis cronica
J310,Rinitis cronica
J311,Rinofaringitis cronica
J312,Faringitis cronica
J32,Sinusitis cronica
J320,Sinusitis maxilar cronica
J321,Sinusitis frontal cronica
J322,Sinusitis etmoidal cronica
J323,Sinusitis esfenoidal cronica
J324,Pansinusitis cronica
J328,Otras sinusitis cronicas
J329,Sinusitis cronica, no especificada
J33,Polipo nasal
J330,Polipo de la cavidad nasal
J331,Degeneracion polipoide de seno paranasal
J338,Otros polipos de los senos paranasales
J339,Polipo nasal, no especificado
J34,Otros trastornos de la nariz y de los senos paranasales
J340,Absceso, furunculo y antrax de la nariz
J341,Quiste y mucocele de la nariz y del seno paranasal
J342,Desviacion del tabique nasal
J343,Hipertrofia de los cornetes nasales
J348,Otros trastornos especificados de la nariz y de los senos paranasales
J35,Enfermedades cronicas de las amigdalas y de las adenoides
J350,Amigdalitis cronica
J351,Hipertrofia de las amigdalas
J352,Hipertrofia de las adenoides
J353,Hipertrofia de las amigdalas con hipertrofia de las adenoides
J358,Otras enfermedades cronicas de las amigdalas y de las adenoides
J359,Enfermedad cronicas de las amigdalas y de las adenoides, no especificada
J36,Absceso periamigdalino
J37,Laringitis y laringotraqueitis cronicas
J370,Laringitis cronica
J371,Laringotraqueitis cronica
J38,Enfermedades de las cuerdas vocales y de la laringe no clasificadas en otra parte
J380,Paralisis de las cuerdas vocales y de la laringe
J381,Polipo de las cuerdas vocales y de la laringe
J382,Nodulos de las cuerdas vocales
J383,Otras enfermedades de las cuerdas vocales
J384,Edema de laringe
J385,Espasmo laringeo
J386,Estenosis laringea
J387,Otras enfermedades de la laringe
J39,Otras enfermedades de las vias respiratorias superiores
J390,Absceso retrofaringeo y parafaringeo
J391,Otros abscesos de la faringe
J392,Otras enfermedades de la faringe
J393,Reaccion de hipersensibilidad de las vias respiratorias superiores, sitio no especificado
J398,Otras enfermedades especificadas de las vias respiratorias superiores
J399,Enfermedad de las vias respiratorias superiores, no especificada
J40,Bronquitis no especificada como aguda o cronica
J41,Bronquitis cronica simple y mucopurulenta
J410,Bronquitis cronica simple
J411,Bronquitis cronica mucopurulenta
J418,Bronquitis cronica mixta simple y mucopurulenta
J42,Bronquitis cronica no especificada
J43,Enfisema
J430,Sindrome de macleod
J431,Enfisema panlobular
J432,Enfisema centrolobular
J438,Otros tipos de enfisema
J439,Enfisema, no especificado
J44,Otras enfermedades pulmonares obstructivas cronicas
J440,Enfermedad pulmonar obstructiva cronica con infeccion aguda de las vias respiratorias inferiores
J441,Enfermedad pulmonar obstructiva cronica con exacerbacion aguda, no especificada
J448,Otras enfermedades pulmonares obstructivas cronicas especificadas
J449,Enfermedad pulmonar obstructiva cronica, no especificada
J45,Asma
J450,Asma predominantemente alergica
J451,Asma no alergica
J458,Asma mixta
J459,Asma, no especificada
J46,Estado asmatico
J47,Bronquiectasia
J60,Neumoconiosis de los mineros de del carbon
J61,Neumoconiosis debida al asbesto y a otras fibras minerales
J62,Neumoconiosis debidas a polvo de silice
J620,Neumoconiosis debida a polvo de talco
J628,Neumoconiosis debida a otros polvos que contienen silice
J63,Neumoconiosis debida a otros polvos inorganicos
J630,Aluminosis (del pulmon)
J631,Fibrosis (del pulmon) debida a bauxita
J632,Beriliosis
J633,Fibrosis (del pulmon) debida a grafito
J634,Siderosis
J635,Estañosis
J638,Neumoconiosis debida a otros polvos inorganicos especificados
J64,Neumoconiosis no especificada
J65,Neumoconiosis asociada con tuberculosis
J66,Enfermedades de las vias aereas debidas a polvos organicos especificos
J660,Bisinosis
J661,Enfermedad de los trabajadores del lino
J662,Canabinosis
J668,Enfermedad de las vias aereas debidas a otros polvos organicos especificos
J67,Neumonitis debida a hipersensibilidad al polvo organico
J670,Pulmon del granjero
J671,Bagazosis
J672,Pulmon del ornitofilo
J673,Suberosis
J674,Pulmon del manipulador de malta
J675,Pulmon del manipulador de hongos
J676,Pulmon del descortezador del arce
J677,Neumonitis de la ventilacion debida al acondicionador y humidificador del aire
J678,Neumonitis debida a hipersensibilidad a otros polvos organicos
J679,Neumonitis debida a hipersensibilidad a polvo organico no especificado
J68,Afecciones respiratorias debidas a inhalacion de gases, humos, vapores y sustancias quimicas
J680,Bronquitis y neumonitis debidas a inhalacion de gases, humos, vapores y sustancias quimicas
J681,Edema pulmonar agudo debido a inhalacion de gases, humos, vapores y sustancias quimicas
J682,Inflamacion respiratoria superior debida a inhalacion de gases, humos, vapores y sustancias quimicas, no clasificadas en otra parte
J683,Otras afecciones respiratorias agudas y subagudas debidas a inhalacion de gases, humos, vapores y sustancias quimicas
J684,Afecciones respiratorias cronicas debidas a inhalacion de gases, humos, vapores y sustancias quimicas
J688,Otras afecciones respiratorias debidas a inhalacion de gases, humos, vapores y sustancias quimicas
J689,Afeccion respiratoria no especificada, debida a inhalacion de gases, humos, vapores y sustancias quimicas
J69,Neumonitis debida a solidos y liquidos
J690,Neumonitis debida a aspiracion de alimento o vomito
J691,Neumonitis debida a aspiracion de aceites y esencias
J698,Neumonitis debida a aspiracion de otros solidos y liquidos
J70,Afecciones respiratorias debidas a otros agentes externos
J700,Manifestaciones pulmonares agudas debidas a radiacion
J701,Manifestaciones pulmonares cronicas y otras manifestaciones debidas a radiacion
J702,Trastornos pulmonares intersticiales agudos inducidos por drogas
J703,Trastornos pulmonares intersticiales cronicos inducidos por drogas
J704,Trastornos pulmonares intersticiales no especificados inducidos por drogas
J708,Afecciones respiratorias debidas a otros agentes externos especificados
J709,Afecciones respiratorias debidas a agentes externos no especificados
J80,Sindrome de dificultad respiratoria del adulto
J81,Edema pulmonar
J82,Eosinofilia pulmonar no clasificada en otra parte
J84,Otras enfermedades pulmonares intersticiales
J840,Afecciones alveolares y alveoloparietales
J841,Otras enfermedades pulmonares intersticiales con fibrosis
J848,Otras enfermedades pulmonares intersticiales especificadas
J849,Enfermedad pulmonar intersticial, no especificada
J85,Absceso del pulmon y del mediastino
J850,Gangrena y necrosis del pulmon
J851,Absceso del pulmon con neumonia
J852,Absceso del pulmon sin neumonia
J853,Absceso del mediastino
J86,Piotorax
J860,Piotorax con fistula
J869,Piotorax sin fistula
J90,Derrame pleural no clasificado en otra parte
J91,Derrame pleural en afecciones clasificadas en otra parte
J92,Paquipleuritis
J920,Paquipleuritis con asbestosis
J929,Paquipleuritis sin asbestosis
J93,Neumotorax
J930,Neumotorax espontaneo a presion
J931,Otros tipos de neumotorax espontaneo
J938,Otros neumotorax
J939,Neumotorax, no especificado
J94,Otras afecciones de la pleura
J940,Quilotorax
J941,Fibrotorax
J942,Hemotorax
J948,Otras afecciones especificadas de la pleura
J949,Afeccion pleural, no especificada
J95,Trastornos del sistema respiratorio, consecutivos a procedimientos no clasificados en otra parte
J950,Funcionamiento defectuoso de la traqueostomia
J951,Insuficiencia pulmonar aguda consecutiva a cirugia toracica
J952,Insuficiencia pulmonar aguda consecutiva a cirugia extratoracica
J953,Insuficiencia pulmonar cronica consecutiva a cirugia
J954,Sindrome de mendelson
J955,Estenosis subglotica consecutiva a procedimientos
J958,Otros trastornos respiratorios consecutivos a procedimientos
J959,Trastorno no especificado del sistema respiratorio, consecutivos a procedimientos
J96,Insuficiencia respiratoria no clasificadas en otra parte
J960,Insuficiencia respiratoria aguda
J961,Insuficiencia respiratoria cronica
J969,Insuficiencia respiratoria, no especificada
J98,Otros trastornos respiratorios
J980,Enfermedades de la traquea y de los bronquios, no clasificadas en otra parte
J981,Colapso pulmonar
J982,Enfisema intersticial
J983,Enfisema compensatorio
J984,Otros trastornos del pulmon
J985,Enfermedades del mediastino, no clasificados en otra parte
J986,Trastornos del diafragma
J988,Otros trastornos respiratorios especificados
J989,Trastorno respiratorio, no especificado
J99,Trastornos respiratorios en enfermedades clasificadas en otra parte
J990,Enfermedad pulmonar reumatoide (m05.1)
J991,Trastornos respiratorios en otros trastornos difusos del tejido conjuntivo
J998,Trastornos respiratorios en otras enfermedades clasificadas en otra parte
K00,Trastornos del desarrollo y de la erupcion de los dientes
K000,Anodoncia
K001,Dientes supernumerarios
K002,Anomalias del tamaño y de la forma del diente
K003,Dientes moteados
K004,Alteraciones en la formacion dentaria
K005,Alteraciones hereditarias de la estructura dentaria, no clasificadas en otra parte
K006,Alteraciones en la erupcion dentaria
K007,Sindrome de la erupcion dentaria
K008,Otros trastornos del desarrollo de los dientes
K009,Trastorno del desarrollo de los dientes, no especificado
K01,Dientes incluidos e impactados
K010,Dientes incluidos
K011,Dientes impactados
K02,Caries dental
K020,Caries limitada al esmalte
K021,Caries de la dentina
