codigo;descripcion;campo;;
D60;Aplasia adquirida; exclusiva de la serie roja [ eritoblastopenia ];;
D600;Aplasia cronica adquirida; exclusiva de la serie roja;;
D601;Aplasia transitoria adquirida; exclusiva de la serie roja;;
D608;Otras aplasias adquiridas; exclusivas de la serie roja;;
D609;Aplasia adquirida; exclusiva de la serie roja; no especificada;
D61;Otras anemias aplasticas;;;
D610;Anemia aplastica constitucional;;;
D611;Anemia aplastica inducida por drogas;;;
D612;Anemia aplastica debida a otros agentes externos;;;
D613;Anemia aplastica idiopatica;;;
D618;Otras anemias aplasticas especificadas;;;
D619;Anemia aplastica; sin otra especificacion;;
D62;Anemia posthemorragica aguda;;;
D63;Anemia en efermedades cronicas clasificadas en otra parte;;;
D630;Anemia en enfermedad neoplasica (c00;;;
D638;Anemia en otras enfermedades cronicas clasificadas en otra parte;;;
D64;Otras anemias;;;
D640;Anemia sideroblastica hereditaria;;;
D641;Anemia sideroblastica secundaria a otra enfermedad;;;
D642;Anemia sideroblastica secundaria; debida a drogas y toxinas;;
D643;Otras anemias sideroblasticas;;;
D644;Anemia diseritropoyetica congenita;;;
D648;Otras anemias especificadas;;;
D649;Anemia de tipo no especificado;;;
D65;Coagulacion intravascular diseminada;;;
D66;Deficiencia hereditaria del factor viii;;;
D67;Deficiencia hereditaria del factor ix;;;
D68;Otros defectos de la coagulacion;;;
D680;Enfermedad de von willebrand;;;
D681;Deficiencia hereditaria del factor xi;;;
D682;Deficiencia hereditaria de otros factores de la coagulacion;;;
D683;Trastorno hemorragico debido a anticoagulantes circulantes;;;
D684;Deficiencia adquirida de factores de la coagulacion;;;
D688;Otros defectos especificados de la coagulacion;;;
D689;Defecto de la coagulacion; no especificado;;
D69;Purpura y otras afecciones hemorragicas;;;
D690;Purpura alergica;;;
D691;Defectos cualitativos de las plaquetas;;;
D692;Otras purpuras no trombocitopenicas;;;
D693;Purpura trombocitopenica idiopatica;;;
D694;Otras trombocitopenias primarias;;;
D695;Trombocitopenia secundaria;;;
D696;Trombocitopenia no especificada;;;
D698;Otras afecciones hemorragicas especificadas;;;
D699;Afeccion hemorragica; no especificada;;
D70;Agranulocitosis;;;
D71;Trastornos funcionales polimorfonucleares neutrofilos;;;
D72;Otros trastornos de los leucocitos;;;
D720;Anomalias geneticas de los leucocitos;;;
D721;Eosinofilia;;;
D728;Otros trastornos especificados de los leucocitos;;;
D729;Trastornos de los leucocitos; no especificado;;
D73;Enfermedades del bazo;;;
D730;Hipoesplenismo;;;
D731;Hiperesplenismo;;;
D732;Esplenomegalia congestiva cronica;;;
D733;Absceso del bazo;;;
D734;Quiste del bazo;;;
D735;Infarto del bazo;;;
D738;Otras enfermedades del bazo;;;
D739;Enfermedad del bazo; no especificada;;
D74;Metahemoglobinemia;;;
D740;Metahemoglobinemia congenita;;;
D748;Otras metahemoglobinemias;;;
D749;Metahemoglobinemia; no especificada;;
D75;Otras enfermedades de la sangre y de los organos hematopoyeticos;;;
D750;Eritrocitosis familiar;;;
D751;Policitemia secundaria;;;
D752;Trombocitosis esencial;;;
D758;Otras enfermedades especificadas de la sangre y de los organos hematopoyeticos;;;
D759;Enfermedad de la sangre y de los organos hematopoyeticos; no especificada;;
D76;Ciert enfermedades que afectanan el tejido linforreticular y al sistema reticuloendotelial;;;
D760;Histiocitosis de las celulas de langerhans; no clasificada en otra parte;;
D761;Linfohistiocitosis hemofagocitica;;;
D762;Sindrome hemofagocitico asociado a infeccion;;;
D763;Otros sindromes histiociticos;;;
D77;Otros trastornos de la sangre y de los organos hematopoyeticos en enfermedades clasificadas en otra parte;;;
D80;Inmunodeficiencia con predominio de defectos de los anticuerpos;;;
D800;Hipogammaglobulinemia hereditaria;;;
D801;Hipogammaglobulinemia no familiar;;;
D802;Deficiencia selectiva de inmunoglobulina a [iga];;;
D803;Deficiencia selectiva de subclases de la inmunoglobulina g [igg];;;
D804;Deficiencia selectiva de inmunoglobulina m [igm];;;
D805;Inmunodeficiencia con incremento de inmunoglobulina m [igm];;;
D806;Deficiencia de anticuerpos con inmunoglobulinas casi normales o con hiperinmunoglobulinemia;;;
D807;Hipogammaglobulinemia transitoria de la infancia;;;
D808;Otras inmunodeficiencias con predominio de defectos de los anticuerpos;;;
D809;Inmunodeficiencia con predominio de defectos de los anticuerpos; no especificada;;
D81;Inmunodeficiencias combinadas;;;
D810;Inmunodeficiencia combinada severa [idcs] con disgenesia reticular;;;
D811;Inmunodeficiencia combinada severa [idcs] con linfocitopenia t y b;;;
D812;Inmunodeficiencia combinada severa [idcs] con cifra baja o normal de linfocitos b;;;
D813;Deficiencia de la adenosina deaminasa [ada];;;
D814;Sindrome de nezelof;;;
D815;Deficiencia de la fosforilasa purinonucleosida [fpn];;;
D816;Deficiencia de la clase i del complejo de histocompatibilidad mayor;;;
D817;Deficiencia de la clase ii del complejo de histocompatibilidad mayor;;;
D818;Otras inmunodeficiencias combinadas;;;
D819;Inmunodeficiencia combinada; no especificada;;
D82;Inmunodeficiencias asociadas a otros defectos mayores;;;
D820;Sindrome de wiskott;;;
D821;Sindrome de di george;;;
D822;Inmunodeficiencia con enanismo micromelico [miembros cortos];;;
D823;Inmunodeficiencia consecutiva a respuesta defectuosa hereditaria contra el virus de epstein;;;
D824;Sindrome de hiperinmunoglobulina e [ige];;;
D828;Inmunodeficiencia asociada con otros defectos mayores especificados;;;
D829;Inmunodeficiencia asociada con otros defectos mayores no especificados;;;
D83;Inmunodeficiencia variable comun;;;
D830;Inmunodeficiencia variable comun con predominio de anormalidades en el numero y la funcion de los linfocitos b;;;
D831;Inmunodeficiencia variable comun con predominio de trastornos inmunorreguladores de los linfocitos t;;;
D832;Inmunodeficiencia variable comun con autoanticuerpos anti;;;
D838;Otras inmunodeficiencias variables comunes;;;
D839;Inmunodeficiencia variable comun; no especificada;;
D84;Otras inmunodeficiencias;;;
D840;Defecto de la funcion del antigeno;;;
D841;Defecto del sistema del complemento;;;
D848;Otras inmunodeficiencias especificadas;;;
D849;Inmunodeficiencia; no especificada;;
D86;Sarcoidosis;;;
D860;Sarcoidosis del pulmon;;;
D861;Sarcoidosis de los ganglios linfaticos;;;
D862;Sarcoidosis del pulmon y de los ganglios linfaticos;;;
D863;Sarcoidosis de la piel;;;
D868;Sarcoidosis de otros sitios especificados o de sitios combinados;;;
D869;Sarcoidosis de sitio no especificado;;;
D89;Otros trastornos que afectanan el mecanismo de la inmunidad no clasificadas en otra parte;;;
D890;Hipergammaglobulinemia policlonal;;;
D891;Crioglobulinemia;;;
D892;Hipergammaglobulinemia; no especificada;;
D898;Otros trastornos especificados que afectan el mecanismo de la inmunidad; no clasificados en otra parte;;
D899;Trastorno que afecta al mecanismo de la inmunidad; no especificado;;
E00;Sindrome congenito de deficiencia de yodo;;;
E000;Sindrome congenito de deficiencia de yodo; tipo neurologico;;
E001;Sindrome de deficiencia congenita de yodo; tipo mixedematoso;;
E002;Sindrome congenito de deficiencia de yodo; tipo mixto;;
E009;Sindrome congenito de deficiencia de yodo; no especificado;;
E01;Trastornos tiroideos vinculados a deficiencia de yodo y afecciones relacionadas relacionadas;;;
E010;Bocio difuso (endemico) relacionado con deficiencia de yodo;;;
E011;Bocio multinodular (endemico) relacionado con deficiencia de yodo;;;
E012;Bocio (endemico) relacionado con deficiencia de yodo; no especificado;;
E018;Otros trastornos de la tiroides relacionados con deficiencia de yodo y afecciones similares;;;
E02;Hipotiroidismo subclinico por deficiencia yodo;;;
E03;Otros hipotiroidismos;;;
E030;Hipotiroidismo congenito con bocio difuso;;;
E031;Hipotiroidismo congenito sin bocio;;;
E032;Hipotiroidismo debido a medicamentos y a otras sustancias exogenas;;;
E033;Hipotiroidismo postinfeccioso;;;
E034;Atrofia de tiroides (adquirida);;;
E035;Coma mixedematoso;;;
E038;Otros hipotiroidismos especificados;;;
E039;Hipotiroidismo; no especificado;;
E04;Otros bocios no toxicos;;;
E040;Bocio difuso no toxico;;;
E041;Nodulo tiroideo solitario no toxico;;;
E042;Bocio multinodular no toxico;;;
E048;Otros bocios no toxicos especificados;;;
E049;Bocio no toxico; no especificado;;
E05;Tirotoxicosis [ hipertiroidismo ];;;
E050;Tirotoxicosis con bocio difuso;;;
E051;Tirotoxicosis con nodulo solitario tiroideo toxico;;;
E052;Tirotoxicosis con bocio multinodular toxico;;;
E053;Tirotoxicosis por tejido tiroideo ectopico;;;
E054;Tirotoxicosis facticia;;;
E055;Crisis o tormenta tirotoxica;;;
E058;Otras tirotoxicosis;;;
E059;Tirotoxicosis; no especificada;;
E06;Tiroiditis;;;
E060;Tiroiditis aguda;;;
E061;Tiroiditis subaguda;;;
E062;Tiroiditis cronica con tirotoxicosis transitoria;;;
E063;Tiroiditis autoinmune;;;
E064;Tiroiditis inducida por drogas;;;
E065;Otras tiroiditis cronicas;;;
E069;Tiroiditis; no especificada;;
E07;Otros trastornos tiroideos;;;
E070;Hipersecrecion de calcitonina;;;
E071;Bocio dishormogenetico;;;
E078;Otros trastornos especificados de la glandula tiroides;;;
E079;Trastorno de la glandula tiroides; no especificado;;
E10;Diabetes mellitus insulinodependiente;;;
E100;Diabetes mellitus insulinodependiente con coma;;;
E101;Diabetes mellitus insulinodependiente con cetoacidosis;;;
E102;Diabetes mellitus insulinodependiente con complicaciones renales;;;
E103;Diabetes mellitus insulinodependiente con complicaciones oftalmicas;;;
E104;Diabetes mellitus insulinodependiente con complicaciones neurologicas;;;
E105;Diabetes mellitus insulinodependiente con complicaciones circulatorias perifericas;;;
E106;Diabetes mellitus insulinodependiente con otras complicaciones especificadas;;;
E107;Diabetes mellitus insulinodependiente con complicaciones multiples;;;
E108;Diabetes mellitus insulinodependiente con complicaciones no especificadas;;;
E109;Diabetes mellitus insulinodependiente sin mencion de complicacion;;;
E11;Diabetes mellitus no insulinodependiente;;;
E110;Diabetes mellitus no insulinodependiente con coma;;;
E111;Diabetes mellitus no insulinodependiente con cetoacidosis;;;
E112;Diabetes mellitus no insulinodependiente con complicaciones renales;;;
E113;Diabetes mellitus no insulinodependiente con complicaciones oftalmicas;;;
E114;Diabetes mellitus no insulinodependiente con complicaciones neurologicas;;;
E115;Diabetes mellitus no insulinodependiente con complicaciones circulatorias perifericas;;;
E116;Diabetes mellitus no insulinodependiente con otras complicaciones especificadas;;;
E117;Diabetes mellitus no insulinodependiente con complicaciones multiples;;;
E118;Diabetes mellitus no insulinodependiente con complicaciones no especificadas;;;
E119;Diabetes mellitus no insulinodependiente sin mencion de complicacion;;;
E12;Diabetes mellitus asociados con desnutricion;;;
E120;Diabetes mellitus asociada con desnutricion con coma;;;
E121;Diabetes mellitus asociada con desnutricion con cetoacidosis;;;
E122;Diabetes mellitus asociada con desnutricion con complicaciones renales;;;
E123;Diabetes mellitus asociada con desnutricion con complicaciones oftalmicas;;;
E124;Diabetes mellitus asociada con desnutricion con complicaciones neurologicas;;;
E125;Diabetes mellitus asociada con desnutricion con complicaciones circulatorias perifericas;;;
E126;Diabetes mellitus asociada con desnutricion con otras complicaciones especificadas;;;
E127;Diabetes mellitus asociada con desnutricion con complicaciones multiples;;;
E128;Diabetes mellitus asociada con desnutricion con complicaciones no especificadas;;;
E129;Diabetes mellitus asociada con desnutricion sin mencion de complicacion;;;
E13;Otras diabetes mellitus especificadas;;;
E130;Otras diabetes mellitus especificadas con coma;;;
E131;Otras diabetes mellitus especificadas con cetoacidosis;;;
E132;Otras diabetes mellitus especificadas con complicaciones renales;;;
E133;Otras diabetes mellitus especificadas con complicaciones oftalmicas;;;
E134;Otras diabetes mellitus especificadas con complicaciones neurologicas;;;
E135;Otras diabetes mellitus especificadas con complicaciones circulatorias perifericas;;;
E136;Otras diabetes mellitus especificadas con otras complicaciones especificadas;;;
E137;Otras diabetes mellitus especificadas con complicaciones multiples;;;
E138;Otras diabetes mellitus especificadas con complicaciones no especificadas;;;
E139;Otras diabetes mellitus especificadas sin mencion de complicacion;;;
E14;Diabetes mellitus no especificada;;;
E140;Diabetes mellitus; no especificada con coma;;
E141;Diabetes mellitus; no especificada con cetoacidosis;;
E142;Diabetes mellitus; no especificada con complicaciones renales;;
E143;Diabetes mellitus; no especificada con complicaciones oftalmicas;;
E144;Diabetes mellitus; no especificada con complicaciones neurologicas;;
E145;Diabetes mellitus; no especificada con complicaciones circulatorias perifericas;;
E146;Diabetes mellitus; no especificada con otras complicaciones especificadas;;
E147;Diabetes mellitus; no especificada con complicaciones multiples;;
E148;Diabetes mellitus; no especificada con complicaciones no especificadas;;
E149;Diabetes mellitus; no especificada sin mencion de complicacion;;
E15;Coma hipoglicemico no diabetico;;;
E16;Otros trastornos de la secrecion interna del pancreas;;;
E160;Hipoglicemia sin coma; inducida por drogas;;
E161;Otras hipoglicemias;;;
E162;Hipoglicemia ; no especificada;;
E163;Secrecion exagerada del glucagon;;;
E164;Secrecion anormal de gastrina;;;
E168;Otros trastornos especificados de la secrecion interna del pancreas;;;
E169;Trastornos de la secrecion interna del pancreas; sin otra especificacion;;
E20;Hipoparatiroidismo;;;
E200;Hipoparatiroidismo idiopatico;;;
E201;Pseudohipoparatiroidismo;;;
E208;Otros tipos de hipoparatiroidismo;;;
E209;Hipoparatiroidismo; no especificado;;
E21;Hiperparatiroidismo y otros trastornos de la glandula paratiroides;;;
E210;Hiperparatiroidismo primario;;;
E211;Hiperparatiroidismo secundario no clasificado en otra parte;;;
E212;Otros tipos de hiperparatiroidismo;;;
E213;Hiperparatiroidismo; sin otra especificacion;;
E214;Otros trastornos especificados de la glandula paratiroides;;;
E215;Trastorno de la glandula paratiroides; no especificado;;
E22;Hiperfuncion de la glandula hipofisis;;;
E220;Acromegalia y gigantismo hipofisario;;;
E221;Hiperprolactinemia;;;
E222;Sindrome de secrecion inapropiada de hormona antidiuretica;;;
E228;Otras hiperfunciones de la glandula hipofisis;;;
E229;Hiperfuncion de la glandula hipofisis; no especificada;;
E23;Hipofuncion y otros trastornos de la glandula hipofisis;;;
E230;Hipopituitarismo;;;
E231;Hipopituitarismo inducido por drogas;;;
E232;Diabetes insipida;;;
E233;Disfuncion hipotalamica; no clasificada en otra parte;;
E236;Otros trastornos de la glandula hipofisis;;;
E237;Trastorno de la glandula hipofisis; no especificado;;
E24;Sindrome de cushing;;;
E240;Enfermedad de cushing dependiente de la hipofisis;;;
E241;Sindrome de nelson;;;
E242;Sindrome de cushing inducido por drogas;;;
E243;Sindrome de acth ectopico;;;
E244;Sindrome de seudo;;;
E248;Otros tipos de sindrome de cushing;;;
E249;Sindrome de cushing; no especificado;;
E25;Trastornos adrenogenitales;;;
E250;Trastornos adrenogenitales congenitos con deficiencia enzimatica;;;
E258;Otros trastornos adrenogenitales;;;
E259;Trastorno adrenogenital; no especificado;;
E26;Hiperaldosteronismo;;;
E260;Hiperaldosteronismo primario;;;
E261;Hiperaldosteronismo secundario;;;
E268;Otros tipos de hiperaldosteronismo;;;
E269;Hiperaldosteronismo; no especificado;;
E27;Otros trastornos de la glandula suprarrenal;;;
E270;Otra hiperactividad corticosuprarrenal;;;
E271;Insuficiencia corticosuprarrenal primaria;;;
E272;Crisis addisoniana;;;
E273;Insuficiencia corticosuprarrenal inducida por drogas;;;
E274;Otras insuficiencias corticosuprarrenales y las no especificadas;;;
E275;Hiperfuncion de la medula suprarrenal;;;
E278;Otros trastornos especificados de la glandula suprarrenal;;;
E279;Trastorno de la glandula suprarrenal; no especificado;;
E28;Disfuncion ovarica;;;
E280;Exceso de estrogenos;;;
E281;Exceso de androgenos;;;
E282;Sindrome de ovario poliquistico;;;
E283;Insuficiencia ovarica primaria;;;
E288;Otras disfunciones ovaricas;;;
E289;Disfuncion ovarica; no especificada;;
E29;Disfuncion testicular;;;
E290;Hiperfuncion testicular;;;
E291;Hipofuncion testicular;;;
E298;Otras disfunciones testiculares;;;
E299;Disfuncion testicular; no especificada;;
