codigo,descripcion,campo
A00,Colera
A809,Poliomielitis aguda, sin otra especificacion
A81,Infecciones del sistema nervioso central por virus atipico
A810,Enfermedad de creutzfeldt
A811,Panencefalitis esclerosante subaguda
A812,Leucoencefalopatia multifocal progresiva
A818,Otras infecciones del sistema nervioso por virus atipico
A819,Infecciones del sistema nervioso central por virus atipico, sin otra especificacion
A82,Rabia
A820,Rabia selvatica
A821,Rabia urbana
A829,Rabia, sin otra especificacion
A83,Encefalitis viral transmitida por mosquitos
A830,Encefalitis japonesa
A831,Encefalitis equina del oeste
A832,Encefalitis equina del este
A833,Encefalitis de san luis
A834,Encefalitis australiana
A835,Encefalitis de california
A836,Enfermedad por virus rocio
A838,Otras encefalitis virales transmitidas por mosquitos
A839,Encefalitis viral transmitida por mosquitos, sin otra especificacion
A84,Encefalitis viral transmitida por garrapatas
A840,Encefalitis del lejano oriente transmitida por garrapatas [encefalitis primaveroestival rusa]
A841,Encefalitis centroeuropea transmitida por garrapatas
A848,Otras encefalitis virales transmitidas por garrapatas
A849,Encefalitis viral transmitida por garrapatas, sin otra especificacion
A85,Otras encefalitis virales, no clasificadas en otra parte
A850,Encefalitis enteroviral (g05.1)
A851,Encefalitis por adenovirus (g05.1)
A852,Encefalitis viral transmitida por artropodos, sin otra especificacion
A858,Otras encefalitis virales especificadas
A86,Encefalitis viral, no especificada
A87,Meningitis viral
A870,Meningitis enteroviral (g02.0)
A871,Meningitis debida a adenovirus (g02.0)
A872,Coriomeningitis linfocitica
A878,Otras meningitis virales
A879,Meningitis viral, sin otra especificacion
A88,Otras infecciones virales del sistema nervioso central, no clasificadas en otra parte
A880,Fiebre exantematica enteroviral [exantema de boston]
A881,Vertigo epidemico
A888,Otras infecciones virales especificadas del sistema nervioso central
A89,Infeccion viral del sistema nervioso central, no especificada
A90,Fiebre del dengue [dengue clasico]
A91,Fiebre del dengue hemorragico
A92,Otras fiebres virales transmitidas por mosquitos
A920,Enfermedad por virus chikungunya
A921,Fiebre de oÃ‚Â´nyong
A922,Fiebre equina venezolana
A923,Fiebre del oeste del nilo
A924,Fiebre del valle del rift
A928,Otras fiebres virales especificadas transmitidas por mosquitos
A929,Fiebre viral transmitida por mosquito, sin otra especificacion
A93,Otras fiebres virales transmitidas por artropodos, no clasificadas en otra parte
A930,Enfermedad por virus de oropouche
A931,Fiebre transmitida por flebotomos
A932,Fiebre de colorado transmitida por garrapatas
A938,Otras fiebres virales especificadas transmitidas por antropodos
A94,Fiebre viral transmitida por artropodos, no especificada
A95,Fiebre amarilla
A950,Fiebre amarilla selvatica
A951,Fiebre amarilla urbana
A959,Fiebre amarilla, no especificada
A96,Fiebre hemorrágica por arenavirus
A960,Fiebre hemorragica de junin
A961,Fiebre hemorragica de machupo
A962,Fiebre de lassa
A968,Otras fiebres hemorragicas por arenavirus
A969,Fiebre hemorragica por arenavirus, sin otra especificacion
A98,Otras fiebres virales hemorrágicas, no clasificadas en otra parte
A980,Fiebre hemorragica de crimea
A981,Fiebre hemorragica de omsk
A982,Enfermedad de la selva de kyasanur
A983,Enfermedad por el virus de marburg
A984,Enfermedad por el virus de ebola
A985,Fiebres hemorragicas con sindrome renal
A988,Otras fiebres hemorragicas virales especificadas
A99,Fiebre viral hemorragica, no especificada
B00,Infecciones herpetica [herpes simple]
B000,Eczema herpetico
B001,Dermatitis vesicular herpetica
B002,Gingivoestomatitis y faringoamigdalitis herpetica
B003,Meningitis herpetica (g02.0)
B004,Encefalitis herpetica (g05.1)
B005,Oculopatia herpetica
B007,Enfermedad herpetica diseminada
B008,Otras formas de infecciones herpeticas
B009,Infeccion debida a el virus del herpes, no especificada
B01,Varicela
B010,Meningitis debida a la varicela (g02.0)
B011,Encefalitis debida a la varicela (g05.1)
B012,Neumonia debida a la varicela (j17.1)
B018,Varicela con otras complicaciones
B019,Varicela sin complicaciones
B02,Herpes zoster
B020,Encefalitis debida a herpes zoster (g05.1)
B021,Meningitis debida a herpes zoster (g02.0)
B022,Herpes zoster con otros compromisos del sistema nervioso
B023,Herpes zoster ocular
B027,Herpes zoster diseminado
B028,Herpes zoster con otras complicaciones
B029,Herpes zoster sin complicaciones
B03,Viruela
B04,Viruela de los monos
B05,Sarampion
B050,Sarampion complicado con encefalitis (g05.1)
B051,Sarampion complicado con meningitis (g02.0)
B052,Sarampion complicado con neumonia (j17.1)
B053,Sarampion complicado con otitis media (h67.1)
B054,Sarampion con complicaciones intestinales
B058,Sarampion con otras complicaciones
B059,Sarampion sin complicaciones
B06,Rubeola [sarampion alemán]
B060,Rubeola con complicaciones neurologicas
B068,Rubeola con otras complicaciones
B069,Rubeola sin complicaciones
B07,Verrugas viricas
B08,Otras infeciones víricas caracterizadas por lesiones de la piel y de l
B080,Otras infecciones debidas a ortopoxvirus
B081,Molusco contagioso
B082,Exantema subito [sexta enfermedad]
B083,Eritema infeccioso [quinta enfermedad]
B084,Estomatitis vesicular enteroviral con exantema
B085,Faringitis vesicular enterovirica
B088,Otras infecciones virales especificadas, caracterizadas por lesiones de la piel y de las membranas mucosas
B09,Infeccion viral no especificada, caracterizada por lesiones de la piel y de las membranas mucosas
B15,Hepatitis aguda tipo A
B150,Hepatitis aguda tipo a, sin coma hepatico
B159,Hepatitis aguda tipo a, con coma hepatico
B16,Hepatitis aguda tipo B
B160,Hepatitis aguda tipo b, con agente delta (coinfeccion). con coma hepatico
B161,Hepatitis aguda tipo b, con agente delta (coinfeccion), sin coma hepatico
B162,Hepatitis aguda tipo b, sin agente delta, con coma hepatico
B169,Hepatitis aguda tipo b, sin agente delta y sin coma hepatico
B17,Otras hepatitis virales agudas
B170,Infeccion (superinfeccion) aguda por agente delta en el portador de hepatitis b
B171,Hepatitis aguda tipo c
B172,Hepatitis aguda tipo e
B178,Otras hepatitis virales agudas especificadas
B18,Hepatitis viral cronica
B180,Hepatitis viral tipo b cronica, con agente delta
B181,Hepatitis viral tipo b cronica, sin agente delta
B182,Hepatitis viral tipo c cronica
B188,Otras hepatitis virales cronicas
B189,Hepatitis viral cronica, sin otra especificacion
B19,Hepatitis viral, sin otra especificacion
B190,Hepatitis viral no especificada con coma
B199,Hepatitis viral no especificada sin coma
B20,Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en enfermedades infecciosas y parasitarias
B200,Enfermedad por el vih, resultante en infeccion por micobacterias
B201,Enfermedad por el vih, resultante en otras infecciones bacterianas
B202,Enfermedad por vih, resultante en enfermedad por citomegalovirus
B203,Enfermedad por vih, resultante en otras infecciones virales
B204,Enfermedad por vih, resultante en candidiasis
B205,Enfermedad por vih, resultante en otras micosis
B206,Enfermedad por vih, resultante en neumonia por pneumocystis carinii
B207,Enfermedad por vih, resultante en infecciones multiples
B208,Enfermedad por vih, resultante en otras enfermedades infecciosas o parasitarias
B209,Enfermedad por vih, resultante en enfermedad infecciosa o parasitaria no especificada
B21,Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en tumores malignos
B210,Enfermedad por vih, resultante en sarcoma de kaposi
B211,Enfermedad por vih, resultante en linfoma de burkitt
B212,Enfermedad por vih, resultante en otros tipos de linfoma no hodgkin
B213,Enfermedad por vih, resultante en otros tumores malignos del tejido linfoide, hematopoyetico y tejidos relacionados
B217,Enfermedad por vih, resultante en tumores malignos multiples
B218,Enfermedad por vih, resultante en otros tumores malignos
B219,Enfermedad por vih, resultante en tumores malignos no especificados
B22,Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras enfermedades especificadas
B220,Enfermedad por vih, resultante en encefalopatia
B221,Enfermedad por vih, resultante en neumonitis linfoide intersticial
B222,Enfermedad por vih, resultante en sindrome caquectico
B227,Enfermedad por vih, resultante en enfermedades multiples clasificadas en otra parte
B23,Enfermedad por virus de la inmunodeficiencia humana [VIH], resultante en otras afecciones
B230,Sindrome de infeccion aguda debida a vih
B231,Enfermedad por vih, resultante en linfadenopatia generalizada (persistente)
B232,Enfermedad por vih, resultante en anormalidades inmunologicas y hematologicas, no clasificadas en otra parte
B238,Enfermedad por vih, resultante en otras afecciones especificadas
B24,Enfermedad por virus de la inmunodeficiencia humana (vih), sin otra especificacion
B25,Enfermedad debida a virus citomegálico
B250,Neumonitis debida a virus citomegalico (j17.1)
B251,Hepatitis debida a virus citomegalico
B252,Pancreatitis debida a virus citomegalico
B258,Otras enfermedades debidas a virus citomegalico
B259,Enfermedad por virus citomegalico, no especificada
B26,Parotiditis infecciosa
B260,Orquitis por parotiditis (n51.1)
B261,Meningitis por parotiditis (g02.0)
B262,Encefalitis por parotiditis (g05.1)
B263,Pancreatitis por parotiditis (k87.1)
B268,Parotiditis infecciosa con otras complicaciones
B269,Parotiditis, sin complicaciones
B27,Mononucleosis infecciosa
B270,Mononucleosis debida a herpes virus gamma
B271,Mononucleosis por citomegalovirus
B278,Otras mononucleosis infecciosas
B279,Mononucleosis infecciosa, no especificada
B30,Conjuntivitis viral
B300,Queratoconjuntivitis debida a adenovirus (h19.2)
B301,Conjuntivitis debida a adenovirus (h13.1)
B302,Faringoconjuntivitis viral
B303,Conjuntivitis epidemica aguda hemorragica (enterovirica) (h13.1)
B308,Otras conjuntivitis virales (h13.1)
B309,Conjuntivitis viral, sin otra especificacion
B33,Otras enfermedades virales, no clasificadas en otra parte
B330,Mialgia epidemica
B331,Enfermedad del rio ross
B332,Carditis viral
B333,Infecciones debidas a retrovirus, no clasificadas en otra parte
B338,Otras enfermedades virales especificadas
B34,Infeccion viral de sitio no especificado
B340,Infeccion debida a adenovirus, sin otra especificacion
B341,Infeccion debida a enterovirus, sin otra especificacion
B342,Infeccion debida a coronavirus, sin otra especificacion
B343,Infeccion debida a parvovirus, sin otra especificacion
B344,Infeccion debida a papovavirus, sin otra especificacion
B348,Otras infecciones virales de sitio no especificado
B349,Infeccion viral, no especificada
B35,Dermatofitosis
B350,Tiña de la barba y del cuero cabelludo
B351,Tiña de las uñas
B352,Tiña de la mano
B353,Tiña del pie [tinea pedis]
B354,Tiña del cuerpo [tinea corporis]
B355,Tiña imbricada [tinea imbricata]
B356,Tiña inguinal [tinea cruris]
B358,Otras dermatofitosis
B359,Dermatofitosis, no especificada
B36,Otras micosis superficiales
B360,Pitiriasis versicolor
B361,Tiña negra
B362,Piedra blanca
B363,Piedra negra
B368,Otras micosis superficiales especificadas
B369,Micosis superficial, sin otra especificacion
B37,Candidiasis
B370,Estomatitis candidiasica
B371,Candidiasis pulmonar
B372,Candidiasis de la piel y de las uñas
B373,Candidiasis de la vulva y de la vagina (n77.1)
B374,Candidiasis de otras localizaciones urogenitales
B375,Meningitis debida a candida (g02.1)
B376,Endocarditis debida a candida (i39.8)
B377,Septicemia debida a candida
B378,Candidiasis de otros sitios
B379,Candidiasis, no especificada
B38,Coccidioidomicosis
B380,Coccidioidomicosis pulmonar aguda
B381,Coccidioidomicosis pulmonar cronica
B382,Coccidioidomicosis pulmonar, sin otra especificacion
B383,Coccidioidomicosis cutanea
B384,Meningitis debida a coccidioidomicosis (g02.1)
B387,Coccidioidomicosis diseminada
B388,Otras formas de coccidioidomicosis
B389,Coccidioidomicosis, no especificada
B39,Histoplasmosis
B390,Infeccion pulmonar aguda debida a histoplasma capsulatum
B391,Infeccion pulmonar cronica debida a histoplasma capsulatum
B392,Infeccion pulmonar debida a histoplasma capsulatum, sin otra especificacion
B393,Infeccion diseminada debida a histoplasma capsulatum
B394,Histoplasmosis debida a histoplasma capsulatum, sin otra especificacion
B395,Infeccion debida a histoplasma duboisii
B399,Histoplasmosis, no especificada
B40,Blastomicosis
B400,Blastomicosis pulmonar aguda
B401,Blastomicosis pulmonar cronica
B402,Blastomicosis pulmonar, sin otra especificacion
B403,Blastomicosis cutanea
B407,Blastomicosis diseminada
B408,Otras formas de blastomicosis
B409,Blastomicosis, no especificada
B41,Paracoccidioidomicosis
B410,Paracoccidioidomicosis pulmonar
B417,Paracoccidioidomicosis diseminada
B418,Otras formas paracoccidioidomicosis
B419,Paracoccidioidomicosis, no especificada
B42,Esporotricosis
B420,Esporotricosis pulmonar (j99.8)
B421,Esporotricosis linfocutanea
B427,Esporotricosis diseminada
B428,Otras formas de esporotricosis
B429,Esporotricosis, no especificada
B43,Cromomicosis y absceso feomicotico
B430,Cromomicosis cutanea
B431,Absceso cerebral feomicotico
B432,Absceso y quiste subcutaneo feomicotico
B438,Otras formas de cromomicosis
B439,Cromomicosis, no especificada
B44,Aspergilosis
B440,Aspergilosis pulmonar invasiva
B441,Otras aspergilosis pulmonares
B442,Aspergilosis amigdalina
B447,Aspergilosis diseminada
B448,Otras formas de aspergilosis
B449,Aspergilosis, no especificada
B45,Criptococosis
B450,Criptococosis pulmonar
B451,Criptococosis cerebral
B452,Criptococosis cutanea
B453,Criptococosis osea
B457,Criptococosis diseminada
B458,Otras formas de criptococosis
B459,Criptococosis, no especificada
B46,Cigomicosis
B460,Mucormicosis pulmonar
B461,Mucormicosis rinocerebral
B462,Mucormicosis gastrointestinal
