codigo,descripcion,campo
R465,Suspicacia y evasividad marcadas
S109,Traumatismo superficial del cuello, parte no especificada
S11,Herida del cuello
S110,Herida que compromete la laringe y la traquea
S111,Herida que compromete la glandula tiroides
S112,Herida que compromete la faringe y el esofago cervical
S117,Heridas multiples del cuello
S118,Heridas de otras partes del cuello
S119,Herida de cuello, parte no especificada
S12,Fractura del cuello
S120,Fractura de la primera vertebra cervical
S121,Fractura de la segunda vertebra cervical
S122,Fractura de otras vertebras cervicales especificadas
S127,Fracturas multiples de columna cervical
S128,Fractura de otras partes del cuello
S129,Fractura del cuello, parte no especificada
S13,Luxacion, esguince y torcedura de articulaciones y de ligamentos del cuello
S130,Ruptura traumatica de disco cervical intervertebral
S131,Luxacion de vertebra cervical
S132,Luxaciones de otras partes y de las no especificadas del cuello
S133,Luxaciones multiples del cuello
S134,Esguinces y torceduras de la columna cervical
S135,Esguinces y torceduras de la region tiroidea
S136,Esguinces y torceduras de articulaciones y ligamentos de otros sitios especificados y de los no especificados del cuello
S14,Traumatismo de la medula espinal y de nervios a nivel del cuello
S140,Concusion y edema de la medula espinal cervical
S141,Otros traumatismos de la medula espinal cervical y los no especificados
S142,Traumatismo de raiz nerviosa de columna cervical
S143,Traumatismo de plexo braquial
S144,Traumatismo de nervios perifericos del cuello
S145,Traumatismo de nervios cervicales simpaticos
S146,Traumatismo de otros nervios y de los no especificados del cuello
S15,Traumatismo de vasos sanguineos a nivel del cuello
S150,Traumatismo de la arteria carotida
S151,Traumatismo de la arteria vertebral
S152,Traumatismo de la vena yugular externa
S153,Traumatismo de la vena yugular interna
S157,Traumatismo de multiples vasos sanguineos a nivel del cuello
S158,Traumatismo de otros vasos sanguineos a nivel del cuello
S159,Traumatismo de vasos sanguineos no especificados a nivel del cuello
S16,Traumatismo de tendon y musculos a nivel del cuello
S17,Traumatismo por aplastamiento del cuello
S170,Traumatismo por aplastamiento de la laringe y de la traquea
S178,Traumatismo por aplastamiento de otras partes del cuello
S179,Traumatismo por aplastamiento del cuello, parte no especificada
S18,Amputacion traumatica a nivel del cuello
S19,Otros traumatismos y los no especificados del cuello
S197,Traumatismos multiples del cuello
S198,Otros traumatismos del cuello, especificados
S199,Traumatismo del cuello, no especificado
S20,Traumatismo superficial del torax
S200,Contusion de la mama
S201,Otros traumatismos superficiales y los no especificados de la mama
S202,Contusion del torax
S203,Otros traumatismos superficiales de la pared anterior del torax
S204,Otros traumatismos superficiales de la pared posterior del torax
S207,Traumatismos superficiales multiples del torax
S208,Traumatismo superficial de otras partes y de las no especificadas del torax
S21,Herida del torax
S210,Herida de la mama
S211,Herida de la pared anterior del torax
S212,Herida de la pared posterior del torax
S217,Herida multiple de la pared toracica
S218,Heridas de otras partes del torax
S219,Heridas del torax, parte no especificada
S22,Fractura de las costillas, del esternon y de la columna toracica [dorsal]
S220,Fractura de vertebra toracica
S221,Fracturas multiples de columna toracica
S222,Fractura de esternon
S223,Fractura de costilla
S224,Fracturas multiples de costilla
S225,Torax azotado
S228,Fractura de otras partes del torax oseo
S229,Fractura del torax oseo, parte no especificada
S23,Luxacion, esguince y torcedura de articulaciones y ligamentos del torax
S230,Ruptura traumatica de disco intervertebral toracico
S231,Luxacion de vertebra toracica
S232,Luxacion de otras partes y de las no especificadas del torax
S233,Esguinces y torceduras de columna toracica
S234,Esguinces y torceduras de costillas y esternon
S235,Esguinces y torceduras de otras partes y de las no especificadas del torax
S24,Traumatismo de nervios y de la medula espinal a nivel de torax
S240,Concusion y edema de la medula espinal toracica
S241,Otros traumatismos y los no especificados de la medula espinal toracica
S242,Traumatismo de raices nerviosas de la columna toracica
S243,Traumatismo de nervios perifericos del torax
S244,Traumatismo de nervios simpaticos toracicos
S245,Traumatismo de otros nervios del torax
S246,Traumatismo de nervio no especificado del torax
S25,Traumatismo de los vasos sanguineos del torax
S250,Traumatismo de la aorta toracica
S251,Traumatismo de la arteria innominada o subclavia
S252,Traumatismo de la vena cava superior
S253,Traumatismo de la vena innominada o subclavia
S254,Traumatismo de vasos sanguineos pulmonares
S255,Traumatismo de vasos sanguineos intercostales
S257,Traumatismo de multiples vasos sanguineos del torax
S258,Traumatismo de otros vasos sanguineos del torax
S259,Traumatismo de vasos sanguineos no especificados del torax
S26,Traumatismo del corazon
S260,Traumatismo del corazon con hemopericardio
S268,Otros traumatismos del corazon
S269,Traumatismos del corazon, no especificado
S27,Traumatismode otros organos intratoracicos y de los no especados
S270,Neumotorax traumatico
S271,Hemotorax traumatico
S272,Hemoneumotorax traumatico
S273,Otros traumatismos del pulmon
S274,Traumatismo de los bronquios
S275,Traumatismo de la traquea toracica
S276,Traumatismo de la pleura
S277,Traumatismo de multiples de organos intratoracicos
S278,Traumatismo de otros organos intratoracicos, especificados
S279,Traumatismo de organo intratoracico, no especificados
S28,Traumatismo por aplastamiento del torax y amputacion traumatica de parte del torax
S280,Aplastamiento del torax
S281,Amputacion traumatica de parte del torax
S29,Otros traumatismos y los no especificados del torax
S290,Traumatismo del tendon y musculos a nivel del torax
S297,Traumatismos multiples del torax
S298,Otros traumatismos del torax, especificados
S299,Traumatismo del torax, no especificado
S30,Traumatismo superficial del abdomen, de la region lumbosacra y de la pelvis
S300,Contusion de la region lumbosacra y de la pelvis
S301,Contusion de la pared abdominal
S302,Contusion de los organos genitales externos
S307,Traumatismos superficiales multiples del abdomen, de la region lumbosacra y de la pelvis
S308,Otros traumatismos superficiales del abdomen, de la region lumbosacra y de la pelvis
S309,Traumatismo superficial del abdomen, de la region lumbosacra y de la pelvis, parte no especificada
S31,Herida del abdomen, de la region lumbosacra y de la pelvis
S310,Herida de la region lumbosacra y de la pelvis
S311,Herida de la pared abdominal
S312,Herida del pene
S313,Herida del escroto y de los testiculos
S314,Herida de la vagina y de la vulva
S315,Herida de otros organos genitales externos y de los no especificados
S317,Heridas multiples del abdomen, de la region lumbosacra y de la pelvis
S318,Heridas de otras partes y de las no especificadas del abdomen
S32,Fractura de la columna lumbar y de la pelvis
S320,Fractura de vertebra lumbar
S321,Fractura del sacro
S322,Fractura del coccix
S323,Fractura del hueso iliaco
S324,Fractura del acetabulo
S325,Fractura del pubis
S327,Fracturas multiples de la columna lumbar y de la pelvis
S328,Fractura de otras partes y de las no especificadas de la columna lumbar y de la pelvis
S33,Luxacion, esguince y torcedura de articulaciones y ligamentos de la columna lumbar y de la pelvis
S330,Ruptura traumatica de disco intervertebral lumbar
S331,Luxacion de vertebra lumbar
S332,Luxacion de articulacion sacrococcigea y sacroiliaca
S333,Luxacion de otras partes y de las no especificadas de la columna lumbar y de la pelvis
S334,Ruptura traumatica de la sinfisis del pubis
S335,Esguinces y torceduras de la columna lumbar
S336,Esguinces y torceduras de la articulacion sacroiliaca
S337,Esguinces y torceduras de otras partes y de las no especificadas de la columna lumbar y de la pelvis
S34,Traumatismode los nervios y de la medula espinal lumbar, a nivel del abdomen, de la region lumbosacra y de la pelvis
S340,Concusion y edema de la medula espinal lumbar
S341,Otro traumatismo de la medula espinal lumbar
S342,Traumatismo de raiz nerviosa de la columna lumbar y sacra
S343,Traumatismo de la cola de caballo
S344,Traumatismo del plexo lumbosacro
S345,Traumatismo de nervio(s) simpatico(s) lumbar(es), sacro(s) y pelvico(s)
S346,Traumatismo de nervio(s) periferico(s) del abdomen, de la region lumbosacra y de la pelvis
S348,Traumatismo de otros nervios a nivel del abdomen, de la region lumbosacra y de la pelvis y de los no especificados
S35,Traumatismo de los vasos sanguineos a nivel del abdomen, de la region lumbosacra y de la pelvis
S350,Traumatismo de la aorta abdominal
S351,Traumatismo de la vena cava inferior
S352,Traumatismo de las arterias celiacas y mesentericas
S353,Traumatismo de venas porta y esplenica
S354,Traumatismo de vasos sanguineos renales
S355,Traumatismo de vasos sanguineos iliacos
S357,Traumatismo de multiples vasos sanguineos a nivel del abdomen, de la region lumbosacra y de la pelvis
S358,Traumatismo de otros vasos sanguineos a nivel del abdomen, de la region lumbosacra y de la pelvis
S359,Traumatismo de vasos sanguineos no especificados del abdomen, de la region lumbosacra y de la pelvis
S36,Traumatismo de organos intraabdominales
S360,Traumatismo del bazo
S361,Traumatismo del higado y de la vesicula biliar
S362,Traumatismo del pancreas
S363,Traumatismo del estomago
S364,Traumatismo del intestino delgado
S365,Traumatismo del colon
S366,Traumatismo del recto
S367,Traumatismo de multiples organos intraabdominales
S368,Traumatismo de otros organos intraabdominales
S369,Traumatismo de organo intraabdominal no especificado
S37,Traumatismo del aparato urinario y de los organos pelvicos
S370,Traumatismo del riñon
S371,Traumatismo del ureter
S372,Traumatismo de la vejiga
S373,Traumatismo de la uretra
S374,Traumatismo del ovario
S375,Traumatismo de la trompa de falopio
S376,Traumatismo del utero
S377,Traumatismo de multiples organos pelvicos
S378,Traumatismo de otros organos pelvicos
S379,Traumatismo de organo pelvico no especificado
S38,Traumatismo por aplastamiento y amputacion traumatica de parte del abdomen, de la region lumbosacra y de la pelvis
S380,Traumatismo por aplastamiento de organos genitales externos
S381,Traumatismo por aplastamiento de otras partes y de las no especificadas del abdomen, de la region lumbosacra y de la pelvis
S382,Amputacion traumatica de organos genitales externos
S383,Amputacion traumatica de otras partes y de las no especificadas del abdomen, region lumbosacra y pelvis
S39,Otros traumatismos y los no especificados del abdomen, de la region lumbosacra y de la pelvis
S390,Traumatismo del tendon y de musculos del abdomen, de la region lumbosacra y de la pelvis
S396,Traumatismo de organo(s) intraabdominal(es) con organo(s) pelvico(s)
S397,Otros traumatismos multiples del abdomen, de la region lumbosacra y de la pelvis
S398,Otros traumatismos especificados del abdomen, de la region lumbosacra y de la pelvis
S399,Traumatismo no especificado del abdomen, de la region lumbosacra y de la pelvis
S40,Traumatismo superficial del hombro y del brazo
S400,Contusion del hombro y del brazo
S407,Traumatismos superficiales multiples del hombro y del brazo
S408,Otros traumatismos superficiales del hombro y del brazo
S409,Traumatismo superficial no especificado del hombro y del brazo
S41,Herida del hombro y del brazo
S410,Herida del hombro
S411,Herida del brazo
S417,Heridas multiples del hombro y del brazo
S418,Heridas de otras partes y de las no especificadas del hombro y del brazo
S42,Fractura del hombro y del brazo
S420,Fractura de la clavicula
S421,Fractura del omoplato
S422,Fractura de la epifisis superior del humero
S423,Fractura de la diafisis del humero
S424,Fractura de la epifisis inferior del humero
S427,Fracturas multiples de la clavicula, del omoplato y del humero
S428,Fractura de otras partes del hombro y del brazo
S429,Fractura del hombro y del brazo, parte no especificada
